#5fa5cd,#b3d6e8,#fcdecd
#f7b799,#569fc9,#fbe6da
#c84440,#ddebf2,#e9f0f4
#c84440,#dbeaf2,#f8f1ed
#fce2d2,#2b73b3,#edf2f5
#f6af8e,#bf3338,#fddcc9
#fae9df,#f9ede5,#f9c6ac
#ecf2f5,#f3f5f6,#67001f
#e0ecf3,#f9efe9,#8d0c25
#f8f1ed,#75b2d4,#eb9172
#de735c,#f9f0eb,#f8f3f0
#e7f0f4,#307ab6,#deebf2
#cb4942,#f7f6f6,#fcdfcf
