freq,labels,colours
11,Task,#fcdecd
8,Future,#fbe6da
5,Past,#e9f0f4
2,Self,#f8f1ed
3,Person,#edf2f5
12,Emotion,#fddcc9
18,Words,#f9c6ac
67,Detail,#67001f
60,Deliberate,#8d0c25
30,Problem,#eb9172
1,Diverse,#f8f3f0
8,Intrusive,#deebf2
11,Memory,#fcdfcf
