#5ca3cb,#a7d0e4,#fbe6da
#fddbc7,#337eb8,#f2f5f6
#d05548,#e3edf3,#f8f1ed
#c13639,#ecf2f5,#d4e6f1
#e9f0f4,#408fc1,#e4eef4
#e98b6e,#f2a17f,#f9c6ac
#f6f7f7,#fcdfcf,#d86551
#f8f3f0,#6bacd1,#c2383a
#f6f7f7,#faeae1,#67001f
#e9f0f4,#3c8abe,#f7b596
#d86551,#b6d7e8,#e6eff4
#fbe4d6,#4c99c6,#a5cee3
#cc4c44,#f8f1ed,#fcd5bf
